order_id,order_date,region,product_id,supplier_id,quantity,unit_sales,revenue,promised_date,delivered_date,delivery_days,delivery_status,fulfillment_status,return_flag,late_flag
O000001,2025-12-24,Central,P0008,S001,5,158.77,793.85,2025-12-28,2025-12-27,3,On Time,Fulfilled,0,0
O000002,2025-03-06,South,P0019,S010,7,269.79,1888.53,2025-03-12,2025-03-13,7,Late,Fulfilled,0,1
O000003,2025-11-27,South,P0013,S004,2,290.72,581.44,2025-11-30,2025-12-01,4,Late,Fulfilled,0,1
O000004,2025-09-20,West,P0032,S001,3,166.64,499.92,2025-09-26,2025-09-25,5,On Time,Fulfilled,0,0
O000005,2025-01-19,East,P0007,S010,6,85.99,515.94,2025-01-23,2025-01-24,5,Late,Fulfilled,0,1
O000006,2025-02-20,South,P0015,S010,2,312.58,625.16,2025-02-26,2025-02-25,5,On Time,Fulfilled,0,0
O000007,2025-09-13,Central,P0026,S007,6,250.97,1505.82,2025-09-15,2025-09-16,3,Late,Fulfilled,0,1
O000008,2025-08-21,South,P0049,S004,2,224.76,449.52,2025-08-26,2025-08-25,4,On Time,Fulfilled,0,0
O000009,2025-06-08,North,P0035,S010,2,211.82,423.64,2025-06-14,2025-06-15,7,Late,Fulfilled,0,1
O000010,2025-06-14,Central,P0006,S007,2,73.03,146.06,2025-06-19,2025-06-18,4,On Time,Fulfilled,0,0
O000011,2025-10-12,Central,P0056,S001,1,210.07,210.07,2025-10-17,2025-10-16,4,On Time,Fulfilled,0,0
O000012,2025-08-22,North,P0049,S004,8,224.76,1798.08,2025-08-26,2025-08-26,4,On Time,Fulfilled,0,0
O000013,2025-12-11,North,P0007,S010,2,85.99,171.98,2025-12-14,2025-12-15,4,Late,Fulfilled,0,1
O000014,2025-08-25,West,P0030,S007,5,299.53,1497.65,2025-08-29,2025-08-28,3,On Time,Fulfilled,0,0
O000015,2025-10-05,West,P0002,S007,5,244.65,1223.25,2025-10-09,2025-10-08,3,On Time,Fulfilled,0,0
O000016,2025-10-16,North,P0007,S010,7,85.99,601.93,2025-10-22,2025-10-28,12,Late,Fulfilled,0,1
O000017,2025-12-06,Central,P0003,S010,4,294.12,1176.48,2025-12-11,2025-12-13,7,Late,Fulfilled,0,1
O000018,2025-05-10,East,P0023,S010,7,93.63,655.41,2025-05-14,2025-05-13,3,On Time,Fulfilled,0,0
O000019,2025-08-06,Central,P0015,S010,2,312.58,625.16,2025-08-10,2025-08-09,3,On Time,Fulfilled,0,0
O000020,2025-05-23,West,P0057,S004,8,302.85,2422.8,2025-05-27,2025-05-28,5,Late,Fulfilled,0,1
O000021,2025-04-22,West,P0060,S001,1,118.33,118.33,2025-04-26,2025-04-25,3,On Time,Fulfilled,0,0
O000022,2025-06-10,West,P0052,S001,4,57.76,231.04,2025-06-16,2025-06-17,7,Late,Fulfilled,0,1
O000023,2025-09-17,East,P0034,S007,1,263.25,263.25,2025-09-23,2025-09-23,6,On Time,Fulfilled,0,0
O000024,2025-12-09,South,P0028,S001,8,123.49,987.92,2025-12-14,2025-12-13,4,On Time,Fulfilled,0,0
O000025,2025-12-04,Central,P0006,S007,5,73.03,365.15,2025-12-09,2025-12-10,6,Late,Fulfilled,0,1
O000026,2025-10-03,Central,P0012,S001,2,86.98,173.96,2025-10-07,2025-10-10,7,Late,Fulfilled,0,1
O000027,2025-05-11,West,P0021,S004,3,179.24,537.72,2025-05-15,2025-05-15,4,On Time,Fulfilled,0,0
O000028,2025-04-22,West,P0049,S004,2,224.76,449.52,2025-04-28,2025-05-04,12,Late,Fulfilled,0,1
O000029,2025-06-10,Central,P0055,S010,1,76.46,76.46,2025-06-14,2025-06-15,5,Late,Fulfilled,0,1
O000030,2025-01-26,South,P0052,S001,6,57.76,346.56,2025-01-29,2025-01-29,3,On Time,Returned,1,0
O000031,2025-05-31,South,P0045,S004,4,109.48,437.92,2025-06-04,2025-06-05,5,Late,Fulfilled,0,1
