product_id,product_name,category,supplier_id,unit_cost,unit_price,reorder_point
P0001,Electronics Item 001,Electronics,S004,94.5,289.3,93
P0002,Home Item 002,Home,S007,97.26,244.65,55
P0003,Office Item 003,Office,S010,28.05,294.12,83
P0004,Sports Item 004,Sports,S001,68.04,209.94,86
P0005,Apparel Item 005,Apparel,S004,143.92,247.38,30
P0006,Electronics Item 006,Electronics,S007,145.26,73.03,36
P0007,Home Item 007,Home,S010,143.6,85.99,89
P0008,Office Item 008,Office,S001,95.32,158.77,93
P0009,Sports Item 009,Sports,S004,165.46,209.42,88
P0010,Apparel Item 010,Apparel,S007,27.22,101.15,61
P0011,Electronics Item 011,Electronics,S010,162.33,132.12,68
P0012,Home Item 012,Home,S001,51.28,86.98,90
P0013,Office Item 013,Office,S004,104.73,290.72,109
P0014,Sports Item 014,Sports,S007,67.18,195.03,53
P0015,Apparel Item 015,Apparel,S010,60.93,312.58,101
P0016,Electronics Item 016,Electronics,S001,136.75,140.21,51
P0017,Home Item 017,Home,S004,176.81,179.09,75
P0018,Office Item 018,Office,S007,177.88,79.76,111
P0019,Sports Item 019,Sports,S010,133.87,269.79,26
P0020,Apparel Item 020,Apparel,S001,125.58,148.59,104
P0021,Electronics Item 021,Electronics,S004,174.86,179.24,35
P0022,Home Item 022,Home,S007,26.19,174.48,60
P0023,Office Item 023,Office,S010,36.88,93.63,60
P0024,Sports Item 024,Sports,S001,173.69,64.9,71
P0025,Apparel Item 025,Apparel,S004,49.17,171.85,41
P0026,Electronics Item 026,Electronics,S007,98.35,250.97,78
P0027,Home Item 027,Home,S010,158.46,275.2,112
P0028,Office Item 028,Office,S001,77.62,123.49,116
P0029,Sports Item 029,Sports,S004,29.25,76.33,71
P0030,Apparel Item 030,Apparel,S007,94.1,299.53,100
P0031,Electronics Item 031,Electronics,S010,39.07,75.12,35
P0032,Home Item 032,Home,S001,25.66,166.64,58
P0033,Office Item 033,Office,S004,140.18,183.37,102
P0034,Sports Item 034,Sports,S007,114.43,263.25,63
P0035,Apparel Item 035,Apparel,S010,79.81,211.82,29
P0036,Electronics Item 036,Electronics,S001,53.37,98.04,79
P0037,Home Item 037,Home,S004,150.16,84.71,69
P0038,Office Item 038,Office,S007,23.24,97.26,87
P0039,Sports Item 039,Sports,S010,169.91,71.46,29
P0040,Apparel Item 040,Apparel,S001,47.13,216.21,26
P0041,Electronics Item 041,Electronics,S004,130.39,162.16,63
P0042,Home Item 042,Home,S007,93.9,315.31,71
P0043,Office Item 043,Office,S010,94.02,254.39,73
P0044,Sports Item 044,Sports,S001,172.84,281.48,67
P0045,Apparel Item 045,Apparel,S004,20.07,109.48,85
P0046,Electronics Item 046,Electronics,S007,18.1,225.07,109
P0047,Home Item 047,Home,S010,97.1,108.12,56
P0048,Office Item 048,Office,S001,22.34,141.97,112
P0049,Sports Item 049,Sports,S004,173.11,224.76,105
P0050,Apparel Item 050,Apparel,S007,51.07,37.5,81
P0051,Electronics Item 051,Electronics,S010,61.39,159.11,96
P0052,Home Item 052,Home,S001,99.09,57.76,107
P0053,Office Item 053,Office,S004,157.84,133.42,68
P0054,Sports Item 054,Sports,S007,22.33,261.11,75
P0055,Apparel Item 055,Apparel,S010,70.97,76.46,107
P0056,Electronics Item 056,Electronics,S001,102.62,210.07,67
P0057,Home Item 057,Home,S004,121.1,302.85,61
P0058,Office Item 058,Office,S007,148.6,66.02,67
P0059,Sports Item 059,Sports,S010,63.78,209.28,62
P0060,Apparel Item 060,Apparel,S001,54.42,118.33,64
